id,book_id,author_id,advance_paid,base_royalty_rate,royalty_split,royalty_details
1,1,1,750000,0.1511,100%,Tiered digital/print split
2,2,1,50000,0.1646,100%,Escalating royalty after 100k copies
3,3,1,200000,0.1703,100%,Standard trade terms
4,4,1,75000,0.1759,100%,First-time author terms
5,5,1,100000,0.1239,100%,Escalating royalty after 100k copies
6,6,1,750000,0.0937,100%,Tiered digital/print split
7,7,1,1000000,0.1959,100%,Flat rate agreement
8,8,1,500000,0.1534,100%,First-time author terms
9,9,2,75000,0.1218,100%,Tiered digital/print split
10,10,2,100000,0.1776,100%,Flat rate agreement
11,11,2,75000,0.1607,100%,Flat rate agreement
12,12,2,75000,0.1086,100%,Standard trade terms
13,13,2,100000,0.1248,100%,Escalating royalty after 100k copies
14,14,2,1000000,0.1266,100%,First-time author terms
15,15,2,100000,0.149,100%,Tiered digital/print split
16,16,2,100000,0.1384,100%,First-time author terms
17,17,2,100000,0.1466,100%,Tiered digital/print split
18,18,3,200000,0.0968,100%,Flat rate agreement
19,19,3,750000,0.1543,50.0%,Flat rate agreement
20,19,41,50000,0.1382,50.0%,Escalating royalty after 100k copies
21,20,3,500000,0.1957,100%,First-time author terms
22,21,3,750000,0.1291,100%,Tiered digital/print split
23,22,3,500000,0.1652,100%,Tiered digital/print split
24,23,3,750000,0.1001,100%,First-time author terms
25,24,4,50000,0.1755,100%,Escalating royalty after 100k copies
26,25,4,200000,0.0839,100%,Escalating royalty after 100k copies
27,26,4,1000000,0.1146,100%,Tiered digital/print split
28,27,4,750000,0.146,100%,Standard trade terms
29,28,5,75000,0.1121,100%,First-time author terms
30,29,5,300000,0.145,100%,Standard trade terms
31,30,5,750000,0.1456,100%,Tiered digital/print split
32,31,6,75000,0.1683,100%,Escalating royalty after 100k copies
33,32,6,200000,0.185,100%,Standard trade terms
34,33,6,750000,0.1115,100%,Standard trade terms
35,34,6,750000,0.1838,100%,Standard trade terms
36,35,6,150000,0.1052,50.0%,First-time author terms
37,35,100,300000,0.1833,50.0%,First-time author terms
38,36,6,500000,0.0999,100%,Escalating royalty after 100k copies
39,37,7,150000,0.1776,100%,Standard trade terms
40,38,7,300000,0.1439,100%,First-time author terms
41,39,7,1000000,0.1002,100%,Flat rate agreement
42,40,7,200000,0.1487,100%,First-time author terms
43,41,7,75000,0.0963,100%,Tiered digital/print split
44,42,7,50000,0.1991,100%,Escalating royalty after 100k copies
45,43,7,100000,0.11,100%,Flat rate agreement
46,44,7,150000,0.1714,100%,Tiered digital/print split
47,45,8,750000,0.0971,100%,Flat rate agreement
48,46,8,500000,0.125,100%,Standard trade terms
49,47,8,75000,0.1283,100%,Flat rate agreement
50,48,8,300000,0.1346,100%,Tiered digital/print split
51,49,8,300000,0.1498,100%,Standard trade terms
52,50,8,750000,0.1562,100%,Flat rate agreement
53,51,8,75000,0.1755,100%,Tiered digital/print split
54,52,9,150000,0.1962,100%,Escalating royalty after 100k copies
55,53,9,750000,0.1122,100%,Flat rate agreement
56,54,9,300000,0.1457,50.0%,Escalating royalty after 100k copies
57,54,84,750000,0.1746,50.0%,Standard trade terms
58,55,9,50000,0.0919,50.0%,Tiered digital/print split
59,55,84,50000,0.0949,50.0%,Escalating royalty after 100k copies
60,56,9,750000,0.1348,100%,Tiered digital/print split
61,57,9,150000,0.1995,100%,Escalating royalty after 100k copies
62,58,10,200000,0.0991,100%,Flat rate agreement
63,59,10,75000,0.1586,100%,Flat rate agreement
64,60,10,75000,0.1246,100%,Escalating royalty after 100k copies
65,61,10,50000,0.1276,100%,Flat rate agreement
66,62,10,150000,0.1315,100%,Standard trade terms
67,63,11,75000,0.0801,100%,Tiered digital/print split
68,64,11,75000,0.0959,100%,Escalating royalty after 100k copies
69,65,11,1000000,0.1616,100%,Standard trade terms
70,66,12,50000,0.1635,100%,Standard trade terms
71,67,12,500000,0.1633,100%,Tiered digital/print split
72,68,12,75000,0.1075,100%,Standard trade terms
73,69,13,75000,0.0924,100%,Flat rate agreement
74,70,13,200000,0.0965,100%,Escalating royalty after 100k copies
75,71,13,100000,0.0882,100%,First-time author terms
76,72,14,50000,0.1532,100%,Escalating royalty after 100k copies
77,73,14,750000,0.1221,100%,Escalating royalty after 100k copies
78,74,15,100000,0.1904,100%,First-time author terms
79,75,15,750000,0.1832,100%,Standard trade terms
80,76,15,75000,0.0968,100%,Standard trade terms
81,77,15,500000,0.1222,100%,Tiered digital/print split
82,78,15,300000,0.1749,100%,Escalating royalty after 100k copies
83,79,16,200000,0.1574,100%,Escalating royalty after 100k copies
84,80,16,1000000,0.1521,100%,First-time author terms
85,81,16,200000,0.1735,100%,Standard trade terms
86,82,16,200000,0.1047,100%,First-time author terms
87,83,16,1000000,0.1026,100%,Tiered digital/print split
88,84,17,200000,0.1575,100%,Escalating royalty after 100k copies
89,85,17,750000,0.1263,100%,Escalating royalty after 100k copies
90,86,17,750000,0.1566,100%,Standard trade terms
91,87,17,1000000,0.1866,100%,Standard trade terms
92,88,17,300000,0.1921,100%,Escalating royalty after 100k copies
93,89,18,500000,0.1833,100%,First-time author terms
94,90,18,500000,0.1238,100%,Escalating royalty after 100k copies
95,91,18,750000,0.1945,100%,Standard trade terms
96,92,18,50000,0.1505,100%,Standard trade terms
97,93,18,200000,0.1059,100%,Standard trade terms
98,94,18,500000,0.1408,100%,First-time author terms
99,95,21,500000,0.1308,100%,Tiered digital/print split
100,96,21,75000,0.1569,100%,First-time author terms
101,97,21,100000,0.1133,100%,Flat rate agreement
102,98,21,75000,0.1414,100%,Escalating royalty after 100k copies
103,99,22,100000,0.1444,100%,Tiered digital/print split
104,100,22,75000,0.1172,100%,Tiered digital/print split
105,101,22,150000,0.0869,100%,Standard trade terms
106,102,22,500000,0.0939,100%,First-time author terms
107,103,23,50000,0.1171,100%,Escalating royalty after 100k copies
108,104,23,75000,0.0815,100%,Escalating royalty after 100k copies
109,105,23,50000,0.0997,100%,Flat rate agreement
110,106,23,1000000,0.1421,100%,Flat rate agreement
111,107,27,100000,0.1246,100%,Flat rate agreement
112,108,27,75000,0.1726,100%,Standard trade terms
113,109,27,300000,0.1769,100%,Flat rate agreement
114,110,27,1000000,0.0877,100%,First-time author terms
115,111,27,75000,0.1395,100%,First-time author terms
116,112,28,300000,0.0867,100%,First-time author terms
117,113,28,100000,0.1241,100%,Flat rate agreement
118,114,28,75000,0.1873,100%,Standard trade terms
119,115,28,150000,0.1689,100%,Standard trade terms
120,116,28,50000,0.183,100%,Standard trade terms
121,117,28,150000,0.0855,100%,Flat rate agreement
122,118,31,500000,0.1904,100%,Escalating royalty after 100k copies
123,119,31,50000,0.1463,100%,Tiered digital/print split
124,120,31,150000,0.1186,100%,Tiered digital/print split
125,121,31,300000,0.1126,100%,Standard trade terms
126,122,31,300000,0.0943,100%,Standard trade terms
127,123,32,100000,0.1068,100%,First-time author terms
128,124,32,50000,0.1945,100%,Standard trade terms
129,125,32,750000,0.1839,100%,Flat rate agreement
130,126,32,300000,0.0904,100%,Tiered digital/print split
131,127,32,50000,0.1243,100%,Flat rate agreement
132,128,34,200000,0.1687,100%,Escalating royalty after 100k copies
133,129,34,750000,0.1242,100%,Tiered digital/print split
134,130,34,150000,0.1679,100%,First-time author terms
135,131,34,150000,0.0981,100%,Tiered digital/print split
136,132,37,50000,0.108,100%,Flat rate agreement
137,133,37,50000,0.1941,100%,Standard trade terms
138,134,37,500000,0.1819,100%,Flat rate agreement
139,135,38,75000,0.1046,100%,Escalating royalty after 100k copies
140,136,38,500000,0.139,100%,Standard trade terms
141,137,38,100000,0.1654,100%,Standard trade terms
142,138,38,50000,0.1906,100%,First-time author terms
143,139,39,500000,0.1641,100%,Flat rate agreement
144,140,39,750000,0.1969,100%,Standard trade terms
145,141,39,75000,0.1407,100%,Tiered digital/print split
146,142,40,75000,0.151,100%,Standard trade terms
147,143,40,500000,0.1595,100%,Escalating royalty after 100k copies
148,144,40,150000,0.115,100%,Flat rate agreement
149,145,40,500000,0.1641,100%,Flat rate agreement
150,146,40,300000,0.1343,100%,Escalating royalty after 100k copies
151,147,44,75000,0.1932,100%,Escalating royalty after 100k copies
152,148,44,75000,0.0986,100%,Escalating royalty after 100k copies
153,149,44,750000,0.1359,100%,Tiered digital/print split
154,150,45,75000,0.1443,100%,Escalating royalty after 100k copies
155,151,45,750000,0.117,100%,Flat rate agreement
156,152,45,75000,0.0909,100%,Flat rate agreement
157,153,45,50000,0.1058,100%,Flat rate agreement
158,154,46,100000,0.0909,100%,Escalating royalty after 100k copies
159,155,46,300000,0.1275,100%,Standard trade terms
160,156,46,200000,0.1112,100%,Escalating royalty after 100k copies
161,157,47,50000,0.1943,100%,Tiered digital/print split
162,158,47,1000000,0.1698,100%,Escalating royalty after 100k copies
163,159,47,75000,0.1354,100%,Escalating royalty after 100k copies
164,160,51,75000,0.0814,100%,Escalating royalty after 100k copies
165,161,51,100000,0.1038,100%,Tiered digital/print split
166,162,51,300000,0.1624,100%,Standard trade terms
167,163,57,200000,0.1901,100%,Standard trade terms
168,164,57,50000,0.1997,100%,Escalating royalty after 100k copies
169,165,57,750000,0.1771,100%,Standard trade terms
170,166,57,300000,0.0947,100%,Tiered digital/print split
171,167,58,50000,0.1002,100%,First-time author terms
172,168,58,500000,0.1786,100%,Tiered digital/print split
173,169,58,750000,0.0835,100%,Tiered digital/print split
174,170,58,100000,0.1225,100%,Escalating royalty after 100k copies
175,171,58,200000,0.1136,100%,Escalating royalty after 100k copies
176,172,59,50000,0.1537,100%,First-time author terms
177,173,59,150000,0.1577,100%,Tiered digital/print split
178,174,59,500000,0.1859,100%,Tiered digital/print split
179,175,59,50000,0.0905,100%,Tiered digital/print split
180,176,61,100000,0.1303,100%,First-time author terms
181,177,61,150000,0.1557,100%,First-time author terms
182,178,61,50000,0.1987,100%,Flat rate agreement
183,179,61,750000,0.1453,100%,Tiered digital/print split
184,180,64,300000,0.1895,100%,First-time author terms
185,181,64,300000,0.1266,100%,Escalating royalty after 100k copies
186,182,64,50000,0.1183,100%,Escalating royalty after 100k copies
187,183,66,50000,0.1875,100%,Flat rate agreement
188,184,66,50000,0.177,100%,Tiered digital/print split
189,185,66,1000000,0.1229,100%,First-time author terms
190,186,66,150000,0.1969,100%,Standard trade terms
191,187,66,150000,0.1588,100%,Flat rate agreement
192,188,67,1000000,0.178,100%,Standard trade terms
193,189,67,150000,0.1491,100%,Tiered digital/print split
194,190,67,300000,0.1922,100%,Escalating royalty after 100k copies
195,191,67,100000,0.1084,100%,Flat rate agreement
196,192,67,300000,0.1897,100%,Standard trade terms
197,193,81,300000,0.1937,100%,First-time author terms
198,194,81,100000,0.1476,100%,Escalating royalty after 100k copies
199,195,81,750000,0.1451,100%,Escalating royalty after 100k copies
200,196,82,750000,0.0846,100%,Standard trade terms
201,197,82,150000,0.1522,100%,Standard trade terms
202,198,82,1000000,0.1374,100%,Flat rate agreement
203,199,82,150000,0.1768,100%,Flat rate agreement
204,200,83,100000,0.1903,100%,Flat rate agreement
205,201,83,50000,0.0826,100%,First-time author terms
206,202,83,100000,0.1729,100%,First-time author terms
207,203,83,300000,0.1953,100%,Flat rate agreement
208,204,83,500000,0.1503,100%,Flat rate agreement
209,205,83,200000,0.1187,100%,Escalating royalty after 100k copies
210,206,84,500000,0.175,100%,Tiered digital/print split
211,207,84,300000,0.1009,100%,First-time author terms
212,208,84,300000,0.1068,100%,First-time author terms
213,209,84,100000,0.1254,50.0%,Flat rate agreement
214,209,9,100000,0.1013,50.0%,Standard trade terms
215,210,84,500000,0.1821,100%,First-time author terms
216,211,85,50000,0.1018,100%,Flat rate agreement
217,212,85,150000,0.1568,100%,Standard trade terms
218,213,85,750000,0.0969,100%,Standard trade terms
219,214,85,150000,0.1216,100%,Flat rate agreement
220,215,86,100000,0.1563,100%,Standard trade terms
221,216,86,300000,0.1336,100%,Flat rate agreement
222,217,86,150000,0.1099,100%,Standard trade terms
223,218,86,300000,0.1108,100%,Standard trade terms
